vote_id,person_id,vote
h102-112.2012,A000022,No
h102-112.2012,A000361,Aye
h102-112.2012,A000362,No
h102-112.2012,B000013,Aye
h102-112.2012,B000410,No
h102-112.2012,B000755,Not Voting
h102-112.2012,B001248,Aye
h102-112.2012,B001250,Aye
h102-112.2012,B001256,Aye
h102-112.2012,B001259,No
h102-112.2012,B001269,Aye
h102-112.2012,B001275,Aye
h102-112.2012,B001278,No
h102-112.2012,C000537,No
h102-112.2012,C000794,No
h102-112.2012,C000984,No
h102-112.2012,C001080,No
h102-112.2012,D000096,No
h102-112.2012,D000492,Aye
h102-112.2012,D000603,Aye
h102-112.2012,E000215,No
h102-112.2012,E000288,No
h102-112.2012,E000290,No
h102-112.2012,F000030,No
h102-112.2012,F000461,Aye
h102-112.2012,G000021,Aye
h102-112.2012,G000549,Aye
h102-112.2012,G000550,Aye
h102-112.2012,G000551,No
h102-112.2012,G000559,No
h102-112.2012,G000560,Aye
h102-112.2012,H000528,Aye
h102-112.2012,H001032,No
h102-112.2012,H001036,Aye
h102-112.2012,H001048,Aye
h102-112.2012,H001050,No
h102-112.2012,H001057,Aye
h102-112.2012,H001058,Aye
h102-112.2012,I000056,Aye
h102-112.2012,K000210,Aye
h102-112.2012,K000336,No
h102-112.2012,K000363,Aye
h102-112.2012,L000263,No
h102-112.2012,L000274,Aye
h102-112.2012,L000517,Aye
h102-112.2012,L000551,No
h102-112.2012,L000559,No
h102-112.2012,L000560,No
h102-112.2012,L000567,Aye
h102-112.2012,L000570,No
h102-112.2012,L000576,Aye
h102-112.2012,M000689,Aye
h102-112.2012,M001143,No
h102-112.2012,M001147,Aye
h102-112.2012,M001150,Aye
h102-112.2012,M001157,Aye
h102-112.2012,M001169,Aye
h102-112.2012,M001177,Aye
h102-112.2012,N000015,No
h102-112.2012,N000186,Aye
h102-112.2012,P000197,No
h102-112.2012,P000258,Aye
h102-112.2012,P000373,Aye
h102-112.2012,P000523,No
h102-112.2012,P000592,Aye
h102-112.2012,P000594,Aye
h102-112.2012,R000487,Aye
h102-112.2012,R000515,No
h102-112.2012,R000570,Aye
h102-112.2012,R000576,No
h102-112.2012,R000593,Aye
h102-112.2012,S000344,No
h102-112.2012,S001154,Aye
h102-112.2012,S001156,No
h102-112.2012,S001164,Not Voting
h102-112.2012,S001168,No
h102-112.2012,S001172,Aye
h102-112.2012,S001184,Aye
h102-112.2012,S001185,No
h102-112.2012,T000238,Aye
h102-112.2012,T000266,No
h102-112.2012,W000187,No
h102-112.2012,W000207,Not Voting
h102-112.2012,W000795,Aye
h102-112.2012,W000799,No
h102-114.2015,A000371,Nay
h102-114.2015,A000372,Yea
h102-114.2015,B000755,Yea
h102-114.2015,B001248,Yea
h102-114.2015,B001250,Yea
h102-114.2015,B001269,Nay
h102-114.2015,B001275,Yea
h102-114.2015,B001278,Nay
h102-114.2015,B001283,Yea
h102-114.2015,B001289,Yea
h102-114.2015,B001291,Yea
h102-114.2015,B001293,Yea
h102-114.2015,B001294,Yea
h102-114.2015,B001295,Yea
h102-114.2015,B001296,Nay
h102-114.2015,C000537,Nay
h102-114.2015,C000984,Nay
h102-114.2015,C001080,Nay
h102-114.2015,C001094,Yea
h102-114.2015,C001103,Yea
h102-114.2015,C001106,Yea
h102-114.2015,D000096,Nay
h102-114.2015,D000621,Yea
h102-114.2015,D000623,Nay
h102-114.2015,E000215,Nay
h102-114.2015,E000288,Nay
h102-114.2015,E000290,Nay
h102-114.2015,F000030,Nay
h102-114.2015,F000454,Nay
h102-114.2015,F000461,Yea
h102-114.2015,F000462,Not Voting
h102-114.2015,G000551,Nay
h102-114.2015,G000559,Nay
h102-114.2015,G000560,Yea
