vid,date
h1-111.2009,2009-01-06
h8-111.2009,2009-01-09
s1-111.2009,2009-01-11
h11-111.2009,2009-01-13
h14-111.2009,2009-01-14
h17-111.2009,2009-01-14
h22-111.2009,2009-01-15
h21-111.2009,2009-01-15
h29-111.2009,2009-01-22
s7-111.2009,2009-01-22
s9-111.2009,2009-01-22
h36-111.2009,2009-01-27
h45-111.2009,2009-01-28
h40-111.2009,2009-01-28
s31-111.2009,2009-01-29
s32-111.2009,2009-02-02
h48-111.2009,2009-02-03
h49-111.2009,2009-02-03
s36-111.2009,2009-02-03
s40-111.2009,2009-02-04
s43-111.2009,2009-02-04
s38-111.2009,2009-02-04
s41-111.2009,2009-02-04
s47-111.2009,2009-02-05
s46-111.2009,2009-02-05
s57-111.2009,2009-02-06
s55-111.2009,2009-02-06
s58-111.2009,2009-02-06
s62-111.2009,2009-02-11
h60-111.2009,2009-02-11
h70-111.2009,2009-02-13
s64-111.2009,2009-02-13
s65-111.2009,2009-02-24
h77-111.2009,2009-02-24
s73-111.2009,2009-02-26
h94-111.2009,2009-03-04
s78-111.2009,2009-03-04
h95-111.2009,2009-03-04
s84-111.2009,2009-03-05
h107-111.2009,2009-03-06
s89-111.2009,2009-03-09
s86-111.2009,2009-03-09
s87-111.2009,2009-03-09
s95-111.2009,2009-03-10
s97-111.2009,2009-03-12
h127-111.2009,2009-03-16
s101-111.2009,2009-03-18
h132-111.2009,2009-03-18
h139-111.2009,2009-03-18
s103-111.2009,2009-03-18
h138-111.2009,2009-03-18
s102-111.2009,2009-03-18
h144-111.2009,2009-03-19
s105-111.2009,2009-03-19
h156-111.2009,2009-03-25
s111-111.2009,2009-03-25
h150-111.2009,2009-03-25
h162-111.2009,2009-03-26
s114-111.2009,2009-03-26
s113-111.2009,2009-03-26
h157-111.2009,2009-03-26
h160-111.2009,2009-03-26
h174-111.2009,2009-03-31
s118-111.2009,2009-03-31
h172-111.2009,2009-03-31
s119-111.2009,2009-04-01
s124-111.2009,2009-04-01
h175-111.2009,2009-04-01
h182-111.2009,2009-04-01
s122-111.2009,2009-04-01
s127-111.2009,2009-04-01
s121-111.2009,2009-04-01
s123-111.2009,2009-04-01
h192-111.2009,2009-04-02
s144-111.2009,2009-04-02
s139-111.2009,2009-04-02
s130-111.2009,2009-04-02
s129-111.2009,2009-04-02
s153-111.2009,2009-04-02
s133-111.2009,2009-04-02
h183-111.2009,2009-04-02
s137-111.2009,2009-04-02
h190-111.2009,2009-04-02
s159-111.2009,2009-04-21
s160-111.2009,2009-04-22
h196-111.2009,2009-04-22
s166-111.2009,2009-04-23
h202-111.2009,2009-04-23
h200-111.2009,2009-04-23
s168-111.2009,2009-04-23
s167-111.2009,2009-04-23
s170-111.2009,2009-04-27
h211-111.2009,2009-04-28
h220-111.2009,2009-04-29
h226-111.2009,2009-04-30
h225-111.2009,2009-04-30
h228-111.2009,2009-04-30
h230-111.2009,2009-05-04
s181-111.2009,2009-05-05
h232-111.2009,2009-05-05
s178-111.2009,2009-05-05
h231-111.2009,2009-05-05
h234-111.2009,2009-05-06
h246-111.2009,2009-05-13
s189-111.2009,2009-05-13
h247-111.2009,2009-05-13
h250-111.2009,2009-05-13
h259-111.2009,2009-05-14
h265-111.2009,2009-05-14
h263-111.2009,2009-05-14
h268-111.2009,2009-05-18
h273-111.2009,2009-05-20
h281-111.2009,2009-05-20
s196-111.2009,2009-05-20
h279-111.2009,2009-05-20
h274-111.2009,2009-05-20
h275-111.2009,2009-05-20
s199-111.2009,2009-05-20
h290-111.2009,2009-05-21
s201-111.2009,2009-05-21
h285-111.2009,2009-05-21
h283-111.2009,2009-05-21
s200-111.2009,2009-05-21
h297-111.2009,2009-06-03
h302-111.2009,2009-06-04
h308-111.2009,2009-06-04
h305-111.2009,2009-06-04
h307-111.2009,2009-06-04
h311-111.2009,2009-06-08
h322-111.2009,2009-06-10
h320-111.2009,2009-06-10
h318-111.2009,2009-06-10
h333-111.2009,2009-06-11
h329-111.2009,2009-06-11
h332-111.2009,2009-06-11
h339-111.2009,2009-06-15
h342-111.2009,2009-06-16
h340-111.2009,2009-06-16
h346-111.2009,2009-06-16
h348-111.2009,2009-06-16
h351-111.2009,2009-06-17
h377-111.2009,2009-06-18
h373-111.2009,2009-06-18
h398-111.2009,2009-06-18
h389-111.2009,2009-06-18
h397-111.2009,2009-06-18
h383-111.2009,2009-06-18
h399-111.2009,2009-06-18
h359-111.2009,2009-06-18
h361-111.2009,2009-06-18
h405-111.2009,2009-06-18
h357-111.2009,2009-06-18
s210-111.2009,2009-06-18
h378-111.2009,2009-06-18
h364-111.2009,2009-06-18
h375-111.2009,2009-06-18
h374-111.2009,2009-06-18
h394-111.2009,2009-06-18
h407-111.2009,2009-06-18
h406-111.2009,2009-06-18
h372-111.2009,2009-06-18
h360-111.2009,2009-06-18
h415-111.2009,2009-06-19
h418-111.2009,2009-06-19
s211-111.2009,2009-06-22
h422-111.2009,2009-06-23
h428-111.2009,2009-06-24
h441-111.2009,2009-06-24
h426-111.2009,2009-06-24
h434-111.2009,2009-06-24
h432-111.2009,2009-06-24
h424-111.2009,2009-06-24
h431-111.2009,2009-06-24
h461-111.2009,2009-06-25
h457-111.2009,2009-06-25
h470-111.2009,2009-06-26
h472-111.2009,2009-06-26
h465-111.2009,2009-06-26
h473-111.2009,2009-06-26
h464-111.2009,2009-06-26
h475-111.2009,2009-06-26
h467-111.2009,2009-06-26
h466-111.2009,2009-06-26
h476-111.2009,2009-06-26
s220-111.2009,2009-07-08
h486-111.2009,2009-07-08
s219-111.2009,2009-07-08
h488-111.2009,2009-07-08
h493-111.2009,2009-07-08
h495-111.2009,2009-07-08
h494-111.2009,2009-07-08
h522-111.2009,2009-07-09
h518-111.2009,2009-07-09
h510-111.2009,2009-07-09
h514-111.2009,2009-07-09
h506-111.2009,2009-07-09
s226-111.2009,2009-07-09
h515-111.2009,2009-07-09
h504-111.2009,2009-07-09
h505-111.2009,2009-07-09
s228-111.2009,2009-07-09
h500-111.2009,2009-07-09
h502-111.2009,2009-07-09
h528-111.2009,2009-07-10
s230-111.2009,2009-07-13
h532-111.2009,2009-07-14
h531-111.2009,2009-07-14
h542-111.2009,2009-07-15
h559-111.2009,2009-07-16
h551-111.2009,2009-07-16
h568-111.2009,2009-07-16
h549-111.2009,2009-07-16
h553-111.2009,2009-07-16
h548-111.2009,2009-07-16
s231-111.2009,2009-07-16
h585-111.2009,2009-07-17
h586-111.2009,2009-07-17
h587-111.2009,2009-07-17
h592-111.2009,2009-07-17
h593-111.2009,2009-07-20
h594-111.2009,2009-07-20
h603-111.2009,2009-07-21
h601-111.2009,2009-07-21
h597-111.2009,2009-07-21
h606-111.2009,2009-07-22
h613-111.2009,2009-07-22
h633-111.2009,2009-07-23
h623-111.2009,2009-07-23
h618-111.2009,2009-07-23
