testno,app_id,trial_no,cand_gen,ilp,heuristic
0,0,1,3.6,27.2,4.3
1,0,2,3.9,28.7,5.0
2,0,3,3.0,28.3,5.4
3,0,4,3.3,27.7,4.3
4,0,5,3.7,28.0,5.1
5,0,6,3.3,27.2,2.7
6,0,7,3.2,27.0,3.6
7,0,8,3.2,25.8,2.2
8,0,9,3.7,25.1,5.4
9,0,10,2.5,26.9,3.2
10,1,1,2.2,25.7,4.2
11,1,2,2.4,26.0,4.0
12,1,3,2.8,26.5,3.8
13,1,4,2.2,26.0,5.1
14,1,5,1.9,27.5,4.5
15,1,6,0.9,26.8,3.3
16,1,7,0.8,28.2,5.2
17,1,8,0.9,28.0,2.8
18,1,9,0.8,28.6,3.4
19,1,10,1.6,26.6,3.8
20,2,1,3.8,39.9,3.3
21,2,2,3.7,38.3,4.7
22,2,3,4.2,39.5,2.5
23,2,4,4.3,37.1,3.2
24,2,5,3.5,31.9,5.8
25,2,6,4.2,34.7,4.9
26,2,7,3.5,30.1,3.4
27,2,8,3.7,31.0,3.4
28,2,9,4.9,34.0,2.0
29,2,10,3.9,38.1,4.1
30,3,1,7.4,171.2,5.2
31,3,2,9.1,163.7,3.0
32,3,3,8.6,161.1,3.1
33,3,4,9.6,165.0,3.7
34,3,5,9.7,183.1,4.6
35,3,6,9.5,185.3,4.3
36,3,7,8.8,187.2,3.4
37,3,8,9.9,189.7,3.1
38,3,9,7.3,163.2,4.3
39,3,10,9.6,172.4,2.7
40,4,1,6.2,132.9,8.8
41,4,2,8.9,132.0,7.6
42,4,3,7.7,128.9,8.8
43,4,4,7.4,125.3,7.6
44,4,5,8.5,127.7,8.0
45,4,6,7.0,127.8,7.5
46,4,7,7.1,133.2,7.7
47,4,8,7.9,133.8,7.2
48,4,9,7.1,126.7,7.3
49,4,10,8.1,131.3,8.0
50,5,1,7.2,122.3,13.5
51,5,2,6.6,120.4,12.6
52,5,3,7.6,120.4,12.3
53,5,4,7.4,132.6,13.2
54,5,5,7.1,134.6,13.1
55,5,6,7.7,122.7,13.5
56,5,7,7.5,137.7,12.7
57,5,8,6.3,123.7,13.1
58,5,9,6.4,120.2,12.4
59,5,10,8.0,121.6,13.1
60,6,1,10.3,127.7,3.6
61,6,2,11.2,125.3,5.0
62,6,3,10.5,126.9,5.0
63,6,4,11.6,126.3,4.1
64,6,5,11.2,127.2,4.6
65,6,6,10.5,125.3,3.5
66,6,7,11.8,127.8,3.9
67,6,8,11.4,126.1,3.9
68,6,9,11.6,126.6,3.9
69,6,10,10.3,127.8,4.3
70,7,1,9.1,140.2,12.3
71,7,2,9.7,139.8,11.6
72,7,3,9.0,137.5,12.2
73,7,4,10.2,135.3,11.1
74,7,5,9.2,142.3,11.5
75,7,6,9.6,135.3,10.8
76,7,7,9.5,136.8,12.1
77,7,8,9.3,139.0,11.1
78,7,9,10.6,142.3,10.6
79,7,10,10.4,141.3,12.3
80,8,1,5.0,92.6,3.6
81,8,2,6.3,89.4,3.6
82,8,3,6.1,94.8,3.1
83,8,4,6.4,97.4,3.9
84,8,5,6.3,86.4,3.5
85,8,6,5.6,97.0,2.0
86,8,7,6.9,84.6,3.7
87,8,8,6.0,98.9,2.9
88,8,9,6.7,99.4,3.5
89,8,10,5.0,85.8,2.0
